artist_name,year_artist_born,age,length,width,height,year_of_work,age_at_work,lower_est_USD,upper_est_USD,sold_in_USD,Material_Category,act_area,posthumous_combined
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2015.0,65.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,200.0,400.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,600.0,800.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,252.0,5,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2014.0,64.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,500.0,700.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,600.0,63.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2014.0,64.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,45.7,1.0,2010.0,60.0,700.0,1000.0,756.01,10,2088.4900000000002,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,300.0,500.0,756.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2011.0,61.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2013.0,63.0,400.0,600.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,60.95,42.5,1.0,2014.0,64.0,600.0,800.0,252.0,3,2590.375,0
Shepard Fairey,1950.0,71.0,45.7,61.0,1.0,2020.0,70.0,200.0,400.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2019.0,69.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,600.0,800.0,756.01,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,500.0,700.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2013.0,63.0,400.0,600.0,252.0,3,2783.13,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2013.0,63.0,400.0,600.0,126.0,3,2783.13,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2008.0,58.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,200.0,300.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2009.0,59.0,400.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2011.0,61.0,600.0,800.0,630.01,3,2783.13,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2011.0,61.0,800.0,1000.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2011.0,61.0,400.0,600.0,252.0,3,2783.13,0
Shepard Fairey,1950.0,71.0,60.1,45.7,1.0,2011.0,61.0,800.0,1000.0,504.0,3,2746.57,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2015.0,65.0,300.0,500.0,378.0,3,2783.13,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2015.0,65.0,200.0,300.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,33.0,25.4,1.0,2021.0,71.0,200.0,300.0,504.0,3,838.1999999999999,0
Shepard Fairey,1950.0,71.0,33.0,25.4,1.0,2021.0,71.0,200.0,300.0,504.0,3,838.1999999999999,0
Shepard Fairey,1950.0,71.0,48.3,36.8,1.0,2020.0,70.0,200.0,400.0,378.0,3,1777.4399999999998,0
Shepard Fairey,1950.0,71.0,60.9,45.7,1.0,2009.0,59.0,1000.0,2000.0,378.0,3,2783.13,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2014.0,64.0,500.0,700.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2011.0,61.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,300.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,500.0,600.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,500.0,252.0,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,500.0,252.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2012.0,62.0,400.0,500.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,800.0,1200.0,630.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2014.0,64.0,400.0,600.0,126.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,46.0,1.0,2014.0,64.0,500.0,700.0,252.0,3,2806.0,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2016.0,66.0,500.0,700.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2020.0,70.0,600.0,800.0,378.0,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2010.0,60.0,700.0,1000.0,504.0,10,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2009.0,59.0,400.0,600.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,300.0,500.0,378.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,45.7,45.7,1.0,2009.0,59.0,500.0,700.0,630.01,3,2088.4900000000002,0
Shepard Fairey,1950.0,71.0,45.7,45.7,1.0,2009.0,59.0,700.0,1000.0,756.01,10,2088.4900000000002,0
Shepard Fairey,1950.0,71.0,45.7,45.7,1.0,2009.0,59.0,700.0,1000.0,1512.01,10,2088.4900000000002,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2020.0,70.0,400.0,600.0,504.0,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,61.0,45.7,1.0,2017.0,67.0,300.0,500.0,1764.01,3,2787.7000000000003,0
Shepard Fairey,1950.0,71.0,91.4,61.0,1.0,2021.0,71.0,600.0,800.0,5670.05,3,5575.400000000001,0
Takashi Murakami,1962.0,59.0,57.9,50.8,1.0,2020.0,58.0,4995.4,7493.09,6294.2,10,2941.3199999999997,1
Yayoi Kusama,1929.0,92.0,29.8,35.0,1.0,2000.0,71.0,18732.74,24976.98,31470.99,3,1043.0,1
